Criminal Race,City,State,Type of Offence,Type of Location,Bias Motivation,Year,ID
Unknown,Oakland,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC1
Multi-Racial Group,Oakland,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC2
White,Alameda,CA,Simple asslt,0,Anti-Black or African American,2017,HC3
White,Alameda,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC4
Unknown,Alameda,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC5
Unknown,Alameda,CA,Intimidation,1,Anti-Physical Disability,2017,HC6
Native Hawaiian or other Pacific Islander,Alameda,CA,Simple asslt,1,Anti-Male Homosexual,2017,HC7
Unknown,Alameda,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC8
Unknown,Alameda,CA,Intimidation,0,Anti-Black or African American,2017,HC9
White,Alameda,CA,Intimidation,1,Anti-Arab,2017,HC10
White,Albany,CA,Destruct/vandalism,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC11
Unknown,Albany,CA,Intimidation,1,Anti-Black or African American,2017,HC12
White,Berkeley,CA,Intimidation,0,Anti-Jewish,2017,HC13
White,Berkeley,CA,Simple asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC14
White,Berkeley,CA,Agg asslt,0,Anti-Black or African American,2017,HC15
White,Berkeley,CA,Simple asslt,0,Anti-Female Homosexual,2017,HC16
White,Berkeley,CA,Agg asslt,0,Anti-Black or African American,2017,HC17
White,Berkeley,CA,Agg asslt,0,Anti-Black or African American,2017,HC18
Unknown,Berkeley,CA,Destruct/vandalism,0,Anti-White,2017,HC19
Unknown,Berkeley,CA,Destruct/vandalism,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC20
Black or African American,Berkeley,CA,Intimidation,0,Anti-White,2017,HC21
White,Berkeley,CA,Intimidation,0,Anti-Jewish,2017,HC22
Unknown,Berkeley,CA,Intimidation,0,Anti-White,2017,HC23
Unknown,Berkeley,CA,Destruct/vandalism,1,Anti-Jewish,2017,HC24
Black or African American,Berkeley,CA,Robbery,0,Anti-Hispanic or Latino,2017,HC25
White,Berkeley,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC26
White,Berkeley,CA,Simple asslt,0,Anti-Black or African American,2017,HC27
White,Berkeley,CA,Intimidation,1,Anti-Not Hispanic or Latino,2017,HC28
Unknown,Berkeley,CA,Destruct/vandalism,0,Anti-Male Homosexual,2017,HC29
White,Berkeley,CA,All other larceny,0,Anti-Native Hawaiian or Other Pacific Islander,2017,HC30
Black or African American,Berkeley,CA,Intimidation,0,Anti-White,2017,HC31
White,Berkeley,CA,Agg asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC32
White,Berkeley,CA,Arson,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC33
White,Berkeley,CA,Simple asslt,0,Anti-Black or African American,2017,HC34
White,Fremont,CA,Intimidation,0,Anti-Islamic,2017,HC35
Unknown,Fremont,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC36
Black or African American,Hayward,CA,Simple asslt,0,Anti-White,2017,HC37
Unknown,Hayward,CA,Intimidation,0,Anti-Black or African American,2017,HC38
Multi-Racial Group,Hayward,CA,Robbery,0,Anti-Islamic,2017,HC39
White,Hayward,CA,Intimidation,0,Anti-Black or African American,2017,HC40
Unknown,Livermore,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC41
Unknown,Livermore,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC42
Unknown,Newark,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC43
Unknown,Newark,CA,Destruct/vandalism,0,Anti-Hispanic or Latino,2017,HC44
Black or African American,Oakland,CA,Robbery,0,Anti-Hispanic or Latino,2017,HC45
Unknown,Oakland,CA,Intimidation,1,Anti-Male Homosexual,2017,HC46
Unknown,Oakland,CA,Intimidation,1,Anti-Black or African American,2017,HC47
Black or African American,Oakland,CA,Intimidation,1,Anti-Jewish,2017,HC48
Unknown,Oakland,CA,Intimidation,0,Anti-Other Religion,2017,HC49
White,Oakland,CA,Simple asslt,0,Anti-Hispanic or Latino,2017,HC50
White,Oakland,CA,Robbery,0,Anti-Hispanic or Latino,2017,HC51
Unknown,Oakland,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC52
Black or African American,Oakland,CA,Simple asslt,0,Anti-White,2017,HC53
Native Hawaiian or other Pacific Islander,Oakland,CA,Intimidation,0,Anti-American Indian or Alaska Native,2017,HC54
Black or African American,Oakland,CA,Simple asslt,0,Anti-Heterosexual,2017,HC55
Unknown,Oakland,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC56
Unknown,Oakland,CA,Intimidation,1,Anti-Jewish,2017,HC57
Multi-Racial Group,Oakland,CA,Intimidation,1,Anti-Other Religion,2017,HC58
Unknown,Oakland,CA,Intimidation,0,Anti-Jewish,2017,HC59
Black or African American,Oakland,CA,Agg asslt,0,Anti-Not Hispanic or Latino,2017,HC60
White,Oakland,CA,Intimidation,0,Anti-Native Hawaiian or Other Pacific Islander,2017,HC61
Black or African American,Oakland,CA,Agg asslt,0,Anti-Hispanic or Latino,2017,HC62
Unknown,Piedmont,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC63
Unknown,Piedmont,CA,Destruct/vandalism,0,Anti-Islamic,2017,HC64
White,San Leandro,CA,Intimidation,0,Anti-American Indian or Alaska Native,2017,HC65
White,San Leandro,CA,Intimidation,1,Anti-Black or African American,2017,HC66
Unknown,San Leandro,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC67
Unknown,San Leandro,CA,Destruct/vandalism,0,Anti-White,2017,HC68
Multi-Racial Group,San Leandro,CA,Destruct/vandalism,0,Anti-Heterosexual,2017,HC69
Black or African American,San Leandro,CA,Simple asslt,0,Anti-Black or African American,2017,HC70
Black or African American,San Leandro,CA,Simple asslt,0,Anti-Mental Disability,2017,HC71
Unknown,San Leandro,CA,Destruct/vandalism,0,Anti-Asian,2017,HC72
Multi-Racial Group,San Leandro,CA,Agg asslt,0,Anti-Heterosexual,2017,HC73
Multi-Racial Group,San Leandro,CA,Agg asslt,1,Anti-Male Homosexual,2017,HC74
Unknown,Union City,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC75
Unknown,Union City,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC76
White,Oakland,CA,Simple asslt,0,Anti-Asian,2017,HC77
Unknown,Dublin,CA,Agg asslt,0,Anti-Asian,2017,HC78
Unknown,Berkeley,CA,Destruct/vandalism,0,Anti-Heterosexual,2017,HC79
Unknown,Berkeley,CA,Simple asslt,0,Anti-White,2017,HC80
Multi-Racial Group,Berkeley,CA,Agg asslt,0,Anti-Black or African American,2017,HC81
White,Berkeley,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC82
Unknown,Berkeley,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC83
White,Chico,CA,Simple asslt,0,Anti-Black or African American,2017,HC84
White,Paradise,CA,Agg asslt,0,Anti-Black or African American,2017,HC85
White,San Andreas,CA,Robbery,0,Anti-Black or African American,2017,HC86
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC87
Unknown,Antioch,CA,Burg/B & E,1,Anti-Black or African American,2017,HC88
Black or African American,Brentwood,CA,Intimidation,0,Anti-Transgender,2017,HC89
Unknown,Brentwood,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC90
White,Concord,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC91
White,Pleasant Hill,CA,Robbery,0,Anti-Islamic,2017,HC92
Unknown,Richmond,CA,Destruct/vandalism,0,Anti-Hispanic or Latino,2017,HC93
Unknown,Richmond,CA,Intimidation,0,Anti-Heterosexual,2017,HC94
White,Richmond,CA,Simple asslt,1,Anti-Black or African American,2017,HC95
White,Richmond,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC96
Multi-Racial Group,Richmond,CA,Intimidation,0,Anti-Black or African American,2017,HC97
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC98
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Other Christian,2017,HC99
Black or African American,Martinez,CA,Intimidation,1,Anti-Mental Disability,2017,HC100
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC101
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC102
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC103
Unknown,Martinez,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC104
Unknown,San Ramon,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC105
Unknown,San Ramon,CA,Destruct/vandalism,0,Anti-Islamic,2017,HC106
Unknown,San Ramon,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC107
White,Placerville,CA,Intimidation,0,Anti-Black or African American,2017,HC108
Unknown,Placerville,CA,Destruct/vandalism,0,Anti-Asian,2017,HC109
White,South Lake Tahoe,CA,Intimidation,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC110
White,South Lake Tahoe,CA,Intimidation,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC111
White,South Lake Tahoe,CA,Intimidation,0,Anti-Black or African American,2017,HC112
White,South Lake Tahoe,CA,Intimidation,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC113
White,South Lake Tahoe,CA,Intimidation,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC114
Unknown,Fresno,CA,Destruct/vandalism,1,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC115
Multi-Racial Group,Fresno,CA,Intimidation,0,Anti-Black or African American,2017,HC116
Unknown,Fresno,CA,Simple asslt,0,Anti-Female Homosexual,2017,HC117
Unknown,Fresno,CA,Destruct/vandalism,1,Anti-Male Homosexual,2017,HC118
Multi-Racial Group,Fresno,CA,Agg asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC119
White,Fresno,CA,Agg asslt,0,Anti-Black or African American,2017,HC120
Unknown,Fresno,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC121
Unknown,Fresno,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC122
White,Fresno,CA,Agg asslt,0,Anti-Transgender,2017,HC123
White,Fresno,CA,Destruct/vandalism,1,Anti-Sikh,2017,HC124
Black or African American,Fresno,CA,Murder/non-neg manslaughter,0,Anti-White,2017,HC125
Black or African American,Fresno,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC126
White,Fresno,CA,Simple asslt,1,Anti-Black or African American,2017,HC127
White,Fresno,CA,Agg asslt,0,Anti-American Indian or Alaska Native,2017,HC128
White,Fresno,CA,Simple asslt,0,Anti-Black or African American,2017,HC129
Unknown,Fresno,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC130
Unknown,Fresno,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC131
Unknown,Fresno,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC132
Multi-Racial Group,Orland,CA,Simple asslt,0,Anti-Black or African American,2017,HC133
White,Arcata,CA,Simple asslt,0,Anti-Hispanic or Latino,2017,HC134
White,Arcata,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC135
Unknown,Bakersfield,CA,Agg asslt,0,Anti-Black or African American,2017,HC136
Unknown,Bakersfield,CA,Agg asslt,1,Anti-Hispanic or Latino,2017,HC137
White,Bakersfield,CA,Intimidation,0,Anti-Male Homosexual,2017,HC138
Unknown,Bakersfield,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC139
White,Bakersfield,CA,Intimidation,0,Anti-Black or African American,2017,HC140
White,Bakersfield,CA,Intimidation,1,Anti-Male Homosexual,2017,HC141
Black or African American,Bakersfield,CA,Robbery,0,Anti-Male Homosexual,2017,HC142
Unknown,Bakersfield,CA,Intimidation,1,Anti-Black or African American,2017,HC143
White,Bakersfield,CA,Agg asslt,0,Anti-Black or African American,2017,HC144
